Mouse_ID,Feces_weight,Extraction_Date,DNA_Dilution_ng/microliter,dest_Water,FEC_DNA_Content_ng/microliter,Nanodrop_1,Nanodrop_2,FEC_260/280,FEC_260/230,Crypto_pos,FEC_Crypto_Ct,Crypto_Ct1,Crypto_Ct2,Crypto_Ct3,Eim_pos,Ct.Eimeria,Eim_Ct1,Eim_Ct2,Eim_Ct3,MC.Eimeria,EIM.REDO
AA_0991,0.0112,24.09.2022,40.9,9.1,61.1,61.1,-,-,-,FALSE,0.00,0.00,37.71,0.00,FALSE,38.82,38.41,39.24,0.00,FALSE,FALSE
AA_0992,0.0172,24.09.2022,27.0,23.0,92.7,92.7,-,-,-,FALSE,0.00,0.00,0.00,0.00,FALSE,0.00,0.00,0.00,0.00,FALSE,FALSE
AA_0993,0.0161,24.09.2022,50.2,-0.2,49.8,49.8,-,-,-,FALSE,0.00,0.00,0.00,0.00,FALSE,0.00,37.94,0.00,0.00,FALSE,FALSE
AA_0994,0.0088,24.09.2022,33.8,16.2,74.0,74.0,-,-,-,TRUE,30.42,31.26,30.31,29.68,FALSE,0.00,0.00,0.00,0.00,FALSE,FALSE
AA_0995,0.0152,24.09.2022,36.2,13.8,69.1,69.1,-,-,-,TRUE,32.15,33.39,32.49,30.56,TRUE,33.28,33.44,33.25,33.14,TRUE,FALSE
AA_0996,0.0251,24.09.2022,20.3,29.7,122.9,122.9,-,-,-,FALSE,0.00,0.00,0.00,0.00,FALSE,31.25,31.53,31.57,30.63,FALSE,TRUE
AA_0997,0.0104,24.09.2022,200.0,-150.0,12.5,12.5,-,-,-,FALSE,0.00,0.00,0.00,0.00,FALSE,31.82,32.02,32.34,31.10,FALSE,TRUE
AA_0998,0.0890,24.09.2022,102.0,-52.0,24.5,24.5,-,-,-,TRUE,34.52,35.11,33.91,34.53,FALSE,32.08,32.42,32.42,31.39,FALSE,TRUE
AA_0999,0.0219,24.09.2022,217.4,-167.4,11.5,11.5,-,-,-,TRUE,37.86,37.65,38.20,37.72,FALSE,32.33,32.82,33.24,30.94,FALSE,TRUE
AA_1000,0.0140,24.09.2022,58.3,-8.3,42.9,42.9,-,-,-,TRUE,36.49,36.03,35.04,38.41,FALSE,31.92,32.72,31.18,31.85,FALSE,TRUE
AA_1001,0.0124,24.09.2022,100.8,-50.8,24.8,24.8,-,-,-,TRUE,34.63,35.38,34.90,33.60,TRUE,18.61,19.81,18.93,17.10,TRUE,FALSE
AA_1002,0.0192,24.09.2022,24.4,25.6,102.4,102.4,-,-,-,TRUE,32.53,32.43,33.01,32.16,TRUE,26.53,27.84,26.46,25.30,TRUE,FALSE
AA_1003,0.0464,24.09.2022,12.1,37.9,205.9,205.9,-,-,-,TRUE,32.93,33.15,33.15,32.50,FALSE,30.82,30.67,30.96,30.82,FALSE,TRUE
AA_1004,0.0363,24.09.2022,40.8,9.2,61.3,61.3,-,-,-,TRUE,34.69,35.11,34.95,34.01,TRUE,22.21,23.14,22.02,21.47,TRUE,FALSE
AA_1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_1007,0.0177,24.09.2022,28.0,22.0,89.3,89.3,-,-,-,FALSE,0.00,0.00,0.00,0.00,TRUE,26.07,26.68,25.92,25.62,TRUE,FALSE
AA_1008,0.0830,24.09.2022,75.3,-25.3,33.2,33.2,-,-,-,TRUE,36.69,36.93,37.56,35.57,FALSE,30.17,30.62,30.07,29.83,FALSE,TRUE
AA_1009,0.0163,24.09.2022,41.6,8.4,60.1,60.1,-,-,-,TRUE,36.41,36.35,38.07,34.83,FALSE,29.42,29.79,29.14,29.34,FALSE,TRUE
AA_1010,0.0673,25.09.2022,45.9,-15.9,32.7,-,-,-,-,TRUE,33.13,33.17,33.01,33.22,TRUE,24.13,24.93,24.13,23.33,TRUE,FALSE
AA_1011,0.0785,25.09.2022,12.4,17.6,121.3,-,-,-,-,FALSE,0.00,0.00,35.40,0.00,FALSE,31.08,31.73,31.23,30.29,FALSE,FALSE
AA_1012,0.0332,25.09.2022,9.4,20.6,160.1,-,-,-,-,FALSE,0.00,0.00,0.00,38.69,TRUE,26.29,27.37,25.92,25.58,TRUE,FALSE
AA_1013,0.1039,25.09.2022,38.9,-8.9,38.6,-,-,-,-,FALSE,0.00,0.00,0.00,0.00,TRUE,30.00,30.08,30.43,29.48,TRUE,FALSE
AA_1014,0.0685,25.09.2022,17.9,12.1,83.8,-,-,-,-,TRUE,27.36,27.48,27.61,26.99,TRUE,29.63,30.14,30.24,28.51,TRUE,FALSE
AA_1015,0.0599,25.09.2022,20.8,9.2,72.2,-,-,-,-,TRUE,34.52,34.00,35.31,34.24,FALSE,32.59,31.91,31.51,34.35,FALSE,TRUE
AA_1016,0.0300,25.09.2022,17.0,13.0,88.0,-,-,-,-,FALSE,0.00,38.93,0.00,0.00,TRUE,29.79,30.36,30.75,28.24,TRUE,FALSE
AA_1017,0.0780,25.09.2022,18.0,12.0,83.3,-,-,-,-,TRUE,29.35,28.89,28.85,30.31,FALSE,30.87,31.36,31.11,30.13,FALSE,TRUE
AA_1018,0.0387,25.09.2022,25.6,4.4,58.5,-,-,-,-,TRUE,35.60,35.78,35.42,0.00,FALSE,33.82,33.53,33.63,34.30,FALSE,TRUE
AA_1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_1020,0.0120,26.09.2022,69.8,-39.8,21.5,-,-,-,-,FALSE,0.00,0.00,0.00,0.00,,,,,,,
AA_1021,0.0674,26.09.2022,25.0,5.0,60,-,-,-,-,TRUE,30.03,30.27,29.80,29.56,,,,,,,
AA_1022,0.0789,26.09.2022,10.7,19.3,139.6,-,-,-,-,TRUE,29.63,29.68,29.58,29.72,,,,,,,
AA_1023,0.0495,26.09.2022,31.3,-1.3,47.9,-,-,-,-,TRUE,30.39,30.16,30.62,29.88,,,,,,,
AA_1024,0.0460,26.09.2022,38.2,-8.2,39.3,-,-,-,-,FALSE,37.41,0.00,37.41,0.00,,,,,,,
AA_1025,0.0518,26.09.2022,12.3,17.7,122.1,-,-,-,-,TRUE,30.36,30.31,30.40,29.71,,,,,,,
AA_1026,0.0299,26.09.2022,23.7,6.3,63.4,-,-,-,-,TRUE,30.53,30.43,30.63,29.99,,,,,,,
AA_1027,0.0421,26.09.2022,33.6,-3.6,44.7,-,-,-,-,TRUE,30.07,30.36,29.78,29.58,,,,,,,
AA_1028,0.0133,26.09.2022,80.6,-50.6,18.6,-,-,-,-,TRUE,34.76,33.88,35.63,33.88,,,,,,,
CB_001,0.0612,26.09.2022,6.3,23.7,239.1,-,-,-,-,FALSE,38.64,38.64,0.00,0.00,,,,,,,
CB_002,0.0327,26.09.2022,7.6,22.4,196.9,-,-,-,-,FALSE,0.00,0.00,0.00,0.00,,,,,,,
CB_003,0.0579,26.09.2022,7.3,22.7,205.7,-,-,-,-,FALSE,0.00,35.26,0.00,0.00,,,,,,,
CB_004,0.0560,26.09.2022,16.2,13.8,92.4,-,-,-,-,TRUE,29.65,29.78,29.51,29.65,,,,,,,
CB_005,0.0362,26.09.2022,16.6,13.4,90.5,-,-,-,-,TRUE,31.70,31.62,31.78,32.10,,,,,,,
ZZ_0087,0.1840,26.09.2022,7.7,22.3,195.7,-,-,-,-,FALSE,0.00,0.00,0.00,0.00,,,,,,,
ZZ_0088,0.1036,26.09.2022,172.4,-142.4,8.7,-,-,-,-,TRUE,26.70,27.19,26.22,25.99,,,,,,,
ZZ_0089,0.0294,26.09.2022,50.5,-20.5,29.7,-,-,-,-,TRUE,35.10,35.22,34.98,32.88,,,,,,,
ZZ_0090,0.1881,26.09.2022,7.2,22.8,208.2,-,-,-,-,FALSE,0.00,0.00,0.00,0.00,,,,,,,
ZZ_0091,0.1371,26.09.2022,153.1,-123.1,9.8,-,-,-,-,FALSE,0.00,0.00,0.00,0.00,,,,,,,
ZZ_0092,0.0854,26.09.2022,365.9,-335.9,4.1,-,-,-,-,FALSE,0.00,0.00,0.00,0.00,,,,,,,
ZZ_0093,0.0776,25.09.2022,22.4,7.6,66.9,-,-,-,-,TRUE,30.74,30.93,30.61,30.68,TRUE,26.77,28.14,26.34,25.84,TRUE,FALSE
AA_1029,,,,,,,,,,,,,,,,,,,,,
AA_1030,,,,,,,,,,,,,,,,,,,,,
AA_1031,,,,,,,,,,,,,,,,,,,,,
AA_1032,,,,,,,,,,,,,,,,,,,,,
AA_1033,,,,,,,,,,,,,,,,,,,,,
AA_1034,,,,,,,,,,,,,,,,,,,,,
AA_1035,,,,,,,,,,,,,,,,,,,,,
AA_1036,,,,,,,,,,,,,,,,,,,,,
AA_1037,,,,,,,,,,,,,,,,,,,,,
AA_1038,,,,,,,,,,,,,,,,,,,,,
AA_1039,,,,,,,,,,,,,,,,,,,,,
AA_1040,,,,,,,,,,,,,,,,,,,,,
AA_1041,,,,,,,,,,,,,,,,,,,,,
AA_1042,,,,,,,,,,,,,,,,,,,,,
AA_1043,,,,,,,,,,,,,,,,,,,,,
AA_1044,,,,,,,,,,,,,,,,,,,,,
AA_1045,,,,,,,,,,,,,,,,,,,,,
AA_1046,,,,,,,,,,,,,,,,,,,,,
AA_1047,,,,,,,,,,,,,,,,,,,,,
AA_1048,,,,,,,,,,,,,,,,,,,,,
AA_1049,,,,,,,,,,,,,,,,,,,,,
AA_1050,,,,,,,,,,,,,,,,,,,,,
AA_1051,,,,,,,,,,,,,,,,,,,,,
AA_1052,,,,,,,,,,,,,,,,,,,,,
AA_1053,,,,,,,,,,,,,,,,,,,,,
AA_1054,,,,,,,,,,,,,,,,,,,,,
AA_1055,,,,,,,,,,,,,,,,,,,,,
AA_1056,,,,,,,,,,,,,,,,,,,,,
AA_1057,,,,,,,,,,,,,,,,,,,,,
AA_1058,,,,,,,,,,,,,,,,,,,,,
